iter	RMSE
349	2682.607143
350	2666.19229
351	2641.518951
352	2621.22479
353	2596.018097
354	2571.195988
355	2565.857146
356	2550.395055
357	2531.120682
358	2518.293547
359	2514.320325
360	2498.636195
361	2475.129567
362	2457.929725
363	2454.619544
364	2425.709086
365	2408.085218
366	2404.424589
367	2400.180829
368	2382.278903
369	2378.756948
370	2374.787671
371	2363.158064
372	2354.490183
373	2343.540779
374	2322.090089
375	2318.830446
376	2316.508683
377	2313.784141
378	2305.424463
379	2291.857656
380	2288.272913
381	2285.551134
382	2282.178524
383	2263.147004
384	2252.043536
385	2244.841058
386	2240.658481
387	2229.62222
388	2221.855688
389	2209.880613
390	2197.182525
391	2188.108572
392	2184.987266
393	2175.528055
394	2154.665865
395	2147.624622
396	2144.438819
397	2142.241925
398	2128.625134
399	2117.108951
400	2105.56035
401	2102.526924
402	2100.111472
403	2091.479535
404	2072.402488
405	2056.23247
406	2042.527912
407	2027.603791
408	2013.233664
409	2010.100139
410	2006.827743
411	1993.755233
412	1990.159671
413	1975.055117
414	1962.444893
415	1953.215114
416	1950.812108
417	1941.207459
418	1938.621243
419	1932.394342
420	1911.638162
421	1908.612074
422	1882.757607
423	1861.973019
424	1849.085373
425	1847.012141
426	1830.591109
427	1819.670269
428	1814.074883
429	1804.085062
430	1796.009971
431	1794.808498
432	1782.161212
433	1769.271542
434	1759.70927
435	1749.746689
436	1737.283192
437	1733.994758
438	1724.676111
439	1712.529581
440	1702.33031
441	1688.226656
442	1682.311722
443	1681.284535
444	1665.205314
445	1663.720674
446	1648.666565
447	1637.991775
448	1634.937535
449	1620.002068
